id,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6
nk7vl,4,0,3,10,0,83
v67on,11,0,94,11,0,38
c4tkv,10,28,95,11,10,83
cnoxm,11,4,60,11,19,54
osx66,10,0,51,10,0,75
w50qp,10,0,36,10,0,98
kc27w,11,2,71,11,9,45
u7se5,10,21,47,11,28,21
xoswp,10,7,55,2,18,21
wpylp,4,5,82,11,9,81
nfk0s,11,2,88,10,30,91
sn7hs,10,22,82,2,18,82
nc943,2,13,76,10,24,59
rjrqm,10,0,26,10,0,64
oaxa8,10,20,87,11,25,92
nfokh,10,27,60,11,1,14
l9e2s,11,10,28,2,8,45
qypas,11,0,15,4,0,43
taruu,10,27,4,11,22,45
xzl9r,11,8,57,10,1,94
pypns,11,5,89,11,6,75
c4qcx,10,0,79,2,0,4
pmz3o,2,0,36,11,0,73
i70y6,11,20,31,10,13,55
a5191,2,21,14,11,13,27
b40qo,11,0,30,11,0,94
p38ug,10,13,57,11,16,35
y3k0h,11,13,88,4,9,84
n4rn0,11,0,44,10,0,60
lzjc8,4,0,8,2,0,55
c8xd7,2,9,34,2,20,42
rqvyv,10,16,72,11,8,13
bi8t8,2,13,21,11,6,24
veyge,10,3,65,2,22,86
v5ebb,11,0,24,2,0,78
znfct,10,0,54,4,0,87
hhqdy,2,0,73,11,25,58
ep63n,2,17,50,11,3,42
hl5n6,4,26,80,2,10,42
udyq4,10,5,69,2,20,31
fd79q,2,7,4,10,2,19
xxsvs,2,0,64,10,0,15
exq98,4,7,72,10,29,61
b2din,10,0,68,11,0,79
fe6j1,11,4,29,10,26,80
t6k0x,4,0,58,2,0,39
pxatt,10,21,79,10,6,67
ja71w,2,0,5,10,9,68
rn6pc,11,8,75,11,18,10
q9tvy,2,0,57,2,0,73
ofbq5,10,30,9,11,2,40
n9j95,2,12,36,2,9,42
c3k09,11,14,50,2,5,82
gu5j4,10,20,25,2,18,68
ngyno,11,16,81,10,22,48
d0q4v,4,8,16,11,10,60
msjxj,11,11,26,2,2,75
d0rtt,4,0,70,10,0,59
ub290,11,0,7,11,0,45
cgwfx,2,12,97,10,30,2
cp5uc,11,24,92,2,2,57
q5u5c,2,5,91,10,5,48
fidkr,2,9,46,11,17,52
jxor0,10,19,77,2,4,67
io3e2,10,20,57,2,8,96
f2uka,11,1,32,11,27,52
t9adg,11,22,55,4,21,0
rgjhq,11,2,5,10,20,47
g6nff,11,0,81,2,0,27
r4d8a,2,12,43,10,18,28
sbc7a,11,1,95,11,15,33
o5bzq,10,21,75,2,6,7
piyzp,2,0,24,10,0,45
ydjaw,2,9,34,10,6,60
lmwtz,11,14,85,4,12,71
kqkw8,10,18,51,10,21,8
oygj8,11,19,78,10,24,64
vzw0j,4,26,44,10,4,73
s7h7i,2,12,81,10,15,37
blxr8,10,0,3,4,0,23
l45u9,11,13,67,2,9,41
t0lvn,10,18,90,11,19,85
fj0oj,11,21,90,2,28,61
z4m0k,4,0,89,2,0,23
vnor1,2,0,28,4,0,51
wmafa,4,13,61,10,16,94
c6a7x,4,0,16,2,0,37
pan1q,2,29,18,2,29,84
n3qmh,2,0,19,4,0,97
qx2yg,10,21,28,11,12,51
wmyh0,2,0,69,11,25,27
j7jnz,11,0,89,11,0,20
n0hrs,2,22,79,11,12,7
r3zff,4,0,22,2,0,45
t6y5e,2,18,86,11,13,77
utcrm,2,2,83,4,18,50
ilhef,4,28,84,2,29,85
ztjk1,10,0,91,2,0,92
ao4w7,11,28,18,11,13,39
mz80w,10,16,80,11,30,48
pnyok,11,30,81,10,6,15
bb6km,10,12,51,2,0,25
l20y2,2,17,29,10,13,32
p99rb,2,7,23,10,27,6
pejtq,2,11,35,2,14,87
dv2z0,4,0,29,2,0,68
h4co4,2,1,70,10,20,63
geo24,10,28,35,2,22,62
q35c7,2,16,55,2,23,69
ir2j1,10,9,85,11,17,14
oesbu,11,4,9,2,29,3
t9sbs,10,8,90,11,19,6
uhhul,2,0,66,11,0,75
engwz,10,11,75,11,18,7
x6pai,2,8,53,4,17,27
e92t6,4,19,93,11,5,14
ajax5,10,0,68,11,0,94
bea0z,10,0,69,2,0,37
fb59i,2,18,96,4,11,16
w47qz,2,20,33,4,16,7
fr9dh,11,0,10,11,0,88
siecx,2,0,83,2,20,76
kvs03,10,25,8,10,27,17
bjpxa,2,8,95,10,29,55
lsrjx,11,19,77,10,18,63
all0s,4,13,42,10,13,25
mhvlz,11,0,50,11,0,77
oricj,4,0,55,11,0,16
nxy3m,11,0,57,11,0,27
h71lj,2,16,78,2,29,12
tu1qf,2,6,16,11,8,73
p1qbg,11,0,84,2,0,57
gusfz,2,27,3,11,5,15
lwscf,2,1,19,2,25,70
cg7ia,11,27,50,11,18,4
yk0h0,10,28,55,10,18,45
tb6t5,2,0,55,2,0,45
hzfx8,10,21,9,10,23,48
rrftu,2,0,74,4,30,42
r2fxn,2,8,95,11,26,15
pi2t7,2,0,54,2,0,22
bil6p,11,6,23,10,21,93
wo2dv,10,21,79,11,22,17
ym6el,2,12,35,10,4,40
zggjt,4,20,37,11,13,58
zrq55,2,5,15,2,25,38
yhdyb,11,9,62,2,7,86
tvggy,11,30,64,10,0,48
b1lmd,10,0,0,10,0,12
m65f1,11,0,68,10,0,53
g75pe,11,16,59,4,16,30
fslmw,10,0,66,4,0,83
vucw9,10,0,63,10,0,22
vh9ds,10,7,85,11,20,82
nd927,2,8,23,11,15,62
tbv3d,10,23,4,4,8,22
d7edk,2,0,30,4,0,89
f73pt,2,0,50,2,0,83
wb3bz,11,14,89,11,24,52
ln3aj,2,11,58,2,14,41
oxzac,2,0,63,10,0,22
mnywr,10,17,43,10,6,63
fvmuz,4,14,39,11,6,97
vhak1,10,0,11,11,0,33
t4t4p,2,0,45,10,9,38
r0taj,2,3,1,2,16,58
jyw0i,11,11,49,11,28,65
qg7n2,11,25,53,4,13,46
yc55z,2,10,22,4,24,61
qkchs,4,0,30,11,0,67
m8zrw,11,0,23,2,0,50
h0ydt,2,1,97,2,20,91
n6wnu,10,25,98,2,29,73
jzcgv,2,26,46,11,13,97
pdq1s,10,15,70,4,26,22
b2cq6,2,13,4,10,28,81
ev4ob,10,20,90,10,25,96
uk6h4,4,15,9,10,19,76
jw187,11,8,42,11,0,84
lsxee,2,28,68,4,9,79
o7fbc,4,18,6,4,28,93
lapdf,4,13,65,2,3,87
t5bes,2,19,98,2,2,41
ghlqh,2,16,80,10,19,10
t0zau,10,13,61,11,3,52
fltxm,11,27,76,10,4,24
jv12f,10,8,47,11,2,84
ptq6n,4,0,60,10,0,25
xi2og,2,18,36,11,16,0
gt9kf,10,16,7,2,24,29
pqpkv,4,0,37,11,0,55
bape5,11,6,20,11,26,60
btxvy,10,23,50,2,20,30
ty5we,4,30,91,10,15,52
snq6o,2,21,81,2,25,74
j51o4,11,15,80,10,13,44
qrqee,11,5,78,4,5,5
jt142,10,0,74,4,0,84
hqjog,2,12,88,10,7,56
lsf1d,10,9,40,11,21,85
iokwz,2,2,41,10,19,76
vok74,4,19,1,11,15,76
k4mbz,2,0,39,11,0,1
ihh2e,10,28,17,11,28,85
n4ilw,11,19,10,2,23,58
tyxsw,10,3,81,11,17,19
hnpeu,2,0,16,2,0,35
ym78c,10,3,91,11,10,4
mxcmr,11,0,13,10,0,95
rk2a5,11,0,0,4,0,35
y909h,2,7,41,4,27,91
lw1mh,2,21,10,4,2,37
fnasf,2,19,4,4,9,42
tl8cz,11,2,28,10,21,56
aiftl,10,27,96,11,13,56
ly5zz,2,12,20,11,7,11
zwiq9,4,0,85,11,0,16
ktuwt,10,7,52,2,21,47
revf0,11,0,36,10,19,44
n6jka,11,1,31,10,26,3
flxgr,10,0,49,10,0,4
i33b7,11,28,19,11,15,89
n4v2v,2,0,16,10,0,90
cow5c,10,20,23,10,21,42
k0n4x,2,2,35,4,10,28
kds42,10,10,10,2,5,54
vye9w,10,30,41,10,3,3
d349x,4,12,98,10,0,28
vtcex,11,3,10,10,16,19
k744f,11,13,19,11,17,17
qqwwr,10,0,49,11,0,91
o7i4p,10,13,10,2,13,72
hxpmu,10,7,3,10,0,53
yt0cd,10,29,65,2,3,7
fnhzx,4,0,4,10,0,24
afe4x,2,26,33,11,26,0
t6xom,11,0,90,11,0,64
q39pr,10,23,47,11,20,2
xo8eg,11,3,26,2,24,93
l37ju,2,14,76,10,17,3
ak9cv,4,8,96,2,14,88
av7um,10,3,92,10,28,23
lrw4b,10,24,40,2,25,92
gzuhn,4,0,12,11,0,10
xt34r,4,11,31,11,28,38
dzsy9,4,26,59,2,17,50
wd6g7,10,0,70,2,0,58
fogb5,2,0,43,2,0,81
d0p74,4,16,32,10,29,64
hgsxy,10,3,18,10,15,68
dsjih,2,14,2,10,23,94
kru8f,10,22,31,10,26,57
irwpb,10,12,80,2,14,74
nyh0j,11,18,70,2,23,50
nygwe,11,24,37,4,17,73
ak1jp,2,21,68,2,24,10
dpjuk,4,0,17,11,0,92
es21i,11,24,35,10,22,98
fy1u0,2,10,34,11,22,93
cpcu6,2,21,56,2,17,83
iruy4,2,18,36,2,16,91
orlwy,2,0,77,2,0,58
iyv9j,4,9,60,11,20,43
il4g3,4,13,65,11,23,12
miy45,2,9,34,11,3,83
ovhmz,10,22,56,11,18,82
iwku7,11,2,40,10,9,79
fcut4,10,9,44,10,15,13
kjgpl,4,1,98,2,0,4
a51om,2,21,0,11,22,89
madux,4,22,0,10,11,78
y2dfu,2,13,64,4,24,54
kd4pv,11,4,49,2,24,64
c2sci,10,0,48,2,0,40
smfsa,2,1,60,2,4,63
df2eb,11,0,25,10,0,37
fq4io,4,19,16,11,16,5
d16kf,10,29,41,10,25,37
wi3m5,11,26,73,10,28,49
zrp09,11,0,90,11,0,33
o0hle,11,19,42,2,28,5
qv8lj,10,2,97,2,27,3
q7bho,2,25,95,2,28,48
p7964,11,0,7,2,0,42
obd6m,2,26,58,2,5,35
zft72,4,13,86,10,23,3
tpg1d,11,21,41,2,24,29
ce0ga,2,0,19,10,0,74
k9s2z,2,10,48,11,8,28
z3yzs,11,19,66,4,30,66
kf2rv,2,21,70,10,28,11
fk31u,2,29,94,4,0,70
wgpjv,2,6,54,10,8,33
qcp9h,2,0,13,10,24,12
orq58,11,29,82,10,9,63
k4vp0,4,0,3,11,1,8
dbxlq,4,5,8,4,9,80
jxokh,10,0,91,2,0,34
loa55,2,0,71,2,0,69
yyj1v,11,11,29,10,10,37
hjqcd,10,0,67,11,0,10
dnb57,4,3,95,2,5,13
lln1l,11,23,59,2,27,15
z2dta,11,5,28,4,9,69
m00q5,11,30,67,11,5,11
jxjvq,2,14,79,10,8,19
rzw2g,2,20,53,2,23,60
qancr,2,30,33,11,23,98
hmxy9,2,28,36,11,6,64
zar2j,2,5,2,4,28,7
p5xre,10,14,40,11,9,32
bualn,10,1,27,2,11,15
kdc5r,11,0,54,2,0,56
xdlv6,2,20,71,11,27,66
kqgry,10,0,69,10,0,69
oewm9,11,5,34,4,13,52
ppuz3,2,4,60,10,13,68
sbmac,11,22,32,10,6,14
wrozy,2,22,45,11,18,58
d7jte,10,0,88,4,0,6
npd6t,11,0,25,10,0,92
ncm11,11,0,24,4,24,18
d0w97,10,0,63,10,0,11
ro9ya,10,0,37,4,15,53
d0i4i,2,19,21,2,5,95
lr52e,10,18,75,11,17,23
i9ptb,4,3,95,4,6,34
ebrmb,2,20,50,10,9,47
vd0vs,2,15,69,11,28,22
gu9q9,11,0,98,2,0,63
gk2wk,2,12,49,2,17,60
weexf,4,0,81,2,0,68
wwy0e,10,7,97,2,13,84
aekrd,10,2,63,10,3,92
hrbfo,2,30,13,11,0,85
suozg,10,21,33,11,19,77
ud7pv,4,17,46,11,13,76
zzkc4,10,0,26,10,0,6
oyt5q,10,23,44,2,11,58
ab12n,10,12,79,11,24,66
wh2ca,4,28,58,2,9,21
e4i2t,10,20,75,10,1,20
d74r0,4,0,81,10,0,12
rf77j,10,30,0,11,26,22
ps7le,2,30,96,2,16,18
b9hfq,11,0,0,10,0,14
eqh5b,2,0,91,10,0,36
p7xjo,11,20,65,2,27,87
gc7z9,11,0,72,2,4,56
rb73s,4,20,78,2,24,27
kwls8,4,29,94,10,5,20
p3ntn,2,21,12,2,22,23
mmwpw,2,26,67,10,17,53
j8dog,2,0,68,10,0,62
icand,11,9,78,11,2,72
szmh8,10,17,22,11,14,15
nw21i,10,7,73,11,28,33
pwet9,10,0,65,11,0,16
phzbs,4,0,39,4,0,74
fe9q8,2,0,5,4,0,71
x6esw,11,5,19,11,28,18
opyq5,11,6,45,4,24,95
swr4y,10,22,26,2,24,15
wjmdo,2,13,86,11,0,25
yuu2h,11,3,15,4,19,53
ro20r,10,23,33,11,15,41
u24p2,10,7,1,2,10,0
miuiy,11,17,30,2,18,36
tn46m,2,18,87,11,19,62
ib067,2,3,52,11,7,44
sibcr,10,14,51,11,19,43
cjfhn,11,10,7,2,6,79
xb38h,2,19,62,2,25,14
gubdk,2,0,65,4,0,91
r42zd,11,0,63,11,0,1
ahvn0,4,20,46,11,5,95
etuu7,4,27,40,2,29,68
zu1rd,11,0,44,2,0,87
vt41t,4,13,86,2,26,73
f8879,4,28,55,10,9,61
dlfpi,11,18,79,4,21,10
vfxdc,11,18,82,2,18,72
zgox9,11,13,26,10,6,20
ewskl,10,12,18,2,6,90
rwgc1,2,28,19,10,16,69
h97y7,4,20,42,4,30,27
t1coc,10,15,47,4,20,20
kj938,10,23,13,2,20,64
drhnh,11,13,28,11,5,80
i8vbl,10,20,80,2,12,57
orz6h,11,0,39,10,0,36
uz32k,2,0,28,4,0,36
amfum,2,0,47,11,0,21
yoa7x,2,11,30,11,0,50
qicof,2,30,74,11,24,87
wg2bs,2,25,23,4,17,9
y1vek,11,23,73,10,25,45
dg9y9,2,0,41,2,0,55
cenm2,10,0,52,4,0,80
uc2q6,4,11,58,10,29,36
el56p,10,1,80,4,8,35
d6mx7,11,27,14,11,5,4
mgobs,2,8,74,4,22,26
xjd6k,10,1,23,10,9,51
u0fjc,2,29,78,11,11,66
nzn6s,11,19,82,10,26,24
fg25v,10,0,46,2,0,74
iz3di,2,10,46,4,15,92
r22gb,11,12,56,2,25,63
etjfp,11,14,78,4,7,81
nj83d,10,24,68,4,19,4
a8jff,11,0,54,4,0,76
inp6l,10,28,49,2,25,21
gyd3r,4,6,70,2,5,92
rur0w,2,30,98,11,30,9
xn4d9,10,8,36,4,20,78
dwdrm,11,29,55,2,26,88
ub95u,2,26,28,4,8,25
reozp,11,22,98,11,19,41
zt4g5,2,16,41,2,16,88
x9k7l,10,16,18,10,6,73
czz7c,4,3,42,2,9,58
tv4da,2,20,59,10,3,15
pcqu2,2,1,95,2,21,28
cp6ew,11,19,98,4,23,57
gqtsz,2,14,11,4,17,23
yz4na,4,0,19,2,0,68
ofvf1,4,6,61,2,24,77
ia79o,2,0,68,10,0,30
i463w,11,21,24,11,1,13
vhmm9,10,0,13,10,0,51
hxcf5,10,2,35,11,15,66
ert7v,4,16,75,10,26,81
oo3m7,11,11,73,2,19,79
zc6eq,2,27,32,11,22,76
ehzq1,2,21,80,2,27,89
gum0k,2,15,36,2,4,83
mi39t,11,16,63,10,6,9
f8ia5,10,4,1,11,23,3
q3r45,4,4,28,11,8,57
gmfw6,2,29,1,10,30,55
duoik,11,17,43,11,30,64
g1nsv,11,11,80,2,8,40
ykkzx,11,4,20,2,29,22
y1sax,11,10,61,10,1,39
nam0j,11,0,36,4,0,51
k5y6t,11,10,1,10,17,72
vqf6x,2,0,59,2,0,32
f3jhn,10,0,77,11,0,17
rr4jh,2,0,73,2,0,35
repdd,4,8,65,10,20,94
smqo7,4,5,10,10,8,36
f7u75,11,0,68,10,14,67
sbtmc,2,7,32,11,14,85
pxswi,10,28,59,4,7,38
w4pii,11,14,91,2,9,97
eje5h,11,14,5,4,20,64
p0oe3,2,25,16,2,20,89
v31nb,4,0,62,2,0,21
h215b,11,21,59,11,13,3
t4cb1,10,0,67,2,0,97
c0o0l,11,0,52,10,0,73
sen6s,10,29,72,10,27,77
p0vxy,10,27,75,11,2,95
fddef,4,17,5,10,14,79
bypn5,11,26,39,10,7,34
tr1wg,4,19,50,4,9,25
gnkzn,4,8,18,10,1,46
mu4n9,10,27,79,2,3,55
bhcgr,11,12,14,2,16,48
zbnll,4,29,58,11,27,24
ohrjz,10,0,81,2,0,52
yuv1p,11,11,85,4,19,80
eg07o,2,22,25,11,9,86
fzxbg,2,9,9,11,17,62
pymju,10,19,24,2,4,75
pu79a,10,26,22,10,13,85
uq0mr,11,10,55,10,15,35
yy08e,11,1,87,2,20,6
vqv6p,4,19,83,10,14,45
dbl7b,2,5,74,4,8,18
i8shm,11,0,89,11,0,76
xm731,11,16,76,11,8,9
oad5l,11,0,59,2,0,73
wgjxy,10,0,50,4,0,41
oju3m,4,3,67,11,14,26
beh9p,2,15,10,10,22,76
mzj5g,11,0,46,11,0,47
ve3w8,2,12,63,11,25,59
rt1sc,2,18,75,10,28,27
dn78q,11,5,7,2,7,79
f5jl1,2,4,42,10,12,91
wcaib,10,22,12,11,5,69
zt1xf,10,0,88,2,0,75
t4rks,10,18,27,2,2,55
cf9ql,11,0,6,4,29,13
qyk1r,2,25,92,2,23,65
v5rxt,10,21,13,10,19,82
q95qz,4,10,37,11,22,23
ph5wn,2,24,24,10,13,81
m61g8,2,21,29,10,24,69
gkcmp,2,13,93,10,25,63
hcvpv,2,4,25,4,13,71
trsf3,2,0,69,10,0,82
bwhd8,11,24,88,10,18,73
cs3rk,10,30,22,10,19,50
kkbtz,2,24,43,11,4,89
udafr,2,19,76,10,15,41
rsu49,11,0,65,4,17,14
p6lqz,4,30,76,11,24,7
nj8eq,2,21,66,2,12,85
c1e9e,11,0,57,11,0,77
ijoxl,4,30,74,2,11,43
culmr,2,22,59,2,13,84
tktpj,2,0,69,2,0,18
toprx,10,13,79,10,24,48
gkup1,2,14,93,10,8,77
hwjhn,2,19,25,2,8,9
imti6,11,2,27,11,20,70
x4wxk,11,7,34,2,18,20
mubes,10,28,40,11,28,22
td80y,11,3,79,10,6,3
l6p4c,4,0,68,11,0,27
s2ee0,11,13,4,11,0,37
nzlfk,2,9,56,2,1,40
hqi76,10,16,42,4,5,0
wokhg,10,18,44,4,30,49
sdn6z,10,0,56,2,23,6
ubol1,2,18,68,10,15,90
ysycm,2,29,30,2,13,69
gm51c,4,1,83,11,3,57
cf0ms,11,17,76,4,8,21
pnleo,10,0,46,11,0,52
i2vgj,11,4,5,2,7,95
lzv9t,2,14,42,2,0,66
g815g,4,27,51,4,17,63
komds,10,0,28,11,0,82
kc0jm,11,1,79,2,27,54
jilq6,4,26,49,10,6,52
tedl0,2,0,11,11,0,72
p12yj,4,8,6,4,0,30
mxpys,10,0,26,10,0,37
c7195,10,27,77,10,13,88
orokm,10,14,46,2,5,0
ehm5h,10,2,16,2,30,80
i5cf6,11,10,81,4,26,37
kslga,10,16,45,2,11,22
dhfy7,4,0,82,11,0,68
kjc9y,10,0,7,2,0,83
go2z0,10,9,35,2,3,91
wgmsx,11,0,68,11,22,83
wukno,10,5,34,2,26,90
ac3xv,2,9,29,2,8,17
p1qvy,2,16,9,10,21,49
qx0c7,4,2,61,2,26,47
js1br,10,21,77,11,10,58
mqh6q,2,14,54,10,5,98
u6pvv,10,1,50,2,29,97
jww2h,11,12,29,2,15,5
bz33o,2,11,41,2,11,89
jp2sa,11,8,82,4,20,44
g11st,10,23,68,11,6,8
jtpzf,2,28,9,10,26,18
fk52b,2,28,1,2,2,87
dge84,11,0,45,10,0,31
zuyw4,10,0,51,10,0,74
d78mm,2,0,51,4,0,12
se3pb,11,14,30,2,17,61
s364w,11,7,23,11,30,79
q56tu,2,0,87,2,0,57
xlw97,10,15,46,10,12,64
a4k1m,2,2,31,2,16,85
ha4k8,10,25,55,11,13,69
etyup,2,12,18,4,1,89
p6dfv,10,15,63,10,10,41
q83zd,4,22,7,11,9,78
xckzd,11,0,87,11,0,4
jmmfu,10,0,9,11,0,67
giepr,10,0,44,11,0,95
yhac3,4,18,81,11,18,47
r3yjx,4,10,87,10,30,20
t74ze,11,10,32,10,24,49
lq82b,11,0,54,11,0,48
l5qfa,10,26,26,10,22,1
ko7vr,11,0,89,2,0,98
tsjap,2,8,67,10,26,55
fg8ji,2,23,43,10,3,35
zqmva,10,0,73,10,0,13
e9hx5,10,8,25,10,6,7
lbrvd,11,7,29,2,0,40
ix3e4,2,0,11,11,0,51
qq9kc,10,0,20,10,0,49
rxpw5,10,9,31,2,13,86
x5ecn,11,23,79,11,23,8
ue6td,2,21,27,2,4,38
gu018,11,14,74,11,21,83
fwvc5,11,25,79,11,16,21
x1293,2,0,71,4,0,51
mpw5c,2,20,83,4,6,26
cfox4,10,4,61,10,3,74
vlhgk,4,11,10,11,20,72
qcs5p,4,28,66,2,7,17
ar3a9,10,29,4,11,25,8
uhdva,2,1,33,10,13,83
pq1yc,4,0,63,2,0,0
p0igm,4,17,46,10,20,33
wqktx,4,8,30,10,24,65
mcjlv,11,10,34,11,9,37
ljz0a,11,19,62,11,12,81
qwnkb,2,10,78,2,29,10
fr1fc,11,19,37,11,4,13
df5h4,10,21,57,4,5,85
vgsq7,4,0,61,10,0,85
fjnqk,11,0,60,11,0,61
ngev0,10,30,16,4,1,28
hgpz9,10,8,92,2,5,38
fe5ns,11,15,12,11,12,38
pcqki,2,3,27,11,25,31
u5fii,2,14,83,4,24,95
l1tqf,2,20,50,10,1,64
do5r8,11,13,71,4,21,95
gbjfx,11,20,49,11,2,10
edobs,11,0,68,2,0,81
wg1qv,11,29,47,2,16,37
igxbf,4,0,62,2,0,44
j3i05,10,1,65,2,29,2
be83t,2,6,97,2,11,12
llhis,2,0,61,11,0,11
xfrsx,11,9,59,4,15,39
kale5,2,29,37,10,30,38
q4966,10,16,56,2,6,6
el9ae,2,23,47,11,9,97
dkj21,10,7,30,11,9,82
tfqd8,2,0,94,10,0,63
bzf1l,4,2,19,4,28,0
lixho,11,0,10,2,0,74
i5nft,10,7,61,11,5,54
af20p,4,29,74,11,5,62
ntbx2,4,20,77,10,23,88
z6zks,11,0,3,2,0,93
blv5n,2,0,56,11,26,55
v2dz2,2,25,9,2,4,51
o2o09,2,4,64,10,24,30
sc9ml,2,19,89,11,30,85
cdhs1,10,13,41,4,27,15
w010b,2,8,8,10,22,35
aqtbk,2,28,85,10,6,69
xkbqp,10,0,21,10,0,84
rte9k,10,0,87,4,0,7
iwuai,10,25,72,4,18,60
aznlz,10,27,73,10,25,47
p23pq,10,25,6,10,7,59
cyvnl,4,1,54,10,11,96
p85kc,10,0,77,2,0,51
u8dib,2,20,89,11,27,68
g1dlw,2,1,60,2,10,37
gb92v,11,0,56,10,0,94
fujv3,11,10,71,10,28,94
fsmkv,2,0,1,10,0,93
c6pxs,11,0,75,2,0,6
grdm7,11,2,87,10,30,83
r5kvv,10,24,98,4,5,2
h5akq,4,10,18,2,29,10
us1mw,2,19,92,11,21,49
v4lsx,10,7,66,10,1,94
t22of,11,30,89,11,20,83
oecrq,4,5,16,10,8,85
iipyb,10,0,74,2,0,93
yjyiu,11,8,84,2,1,20
f1ldj,10,20,20,2,14,68
mxk6e,11,20,94,11,13,17
lq70c,2,2,50,11,3,4
tkb82,2,30,97,11,8,6
oiqq3,2,10,59,4,4,35
uds06,10,12,3,2,4,46
xmmxv,11,13,6,4,11,68
k6hnq,11,6,0,10,2,69
wsefr,10,24,26,4,20,14
edqfa,4,21,67,11,1,3
xodxu,10,2,12,10,14,60
efzkx,11,5,56,11,12,97
w8zkr,10,28,35,4,20,66
kkm5y,10,19,76,10,1,80
ztjsw,11,0,26,10,0,44
dzd5t,2,14,37,10,12,90
mmztl,2,14,66,10,27,42
x676c,2,1,93,10,19,81
b7jmy,10,16,36,10,3,15
gr3xe,2,29,38,10,17,90
cfdlq,4,7,25,11,13,7
i5mdt,11,0,89,10,0,12
kp4bk,10,0,30,2,0,15
qzauy,2,22,62,2,0,37
gbu7s,11,21,31,2,22,63
eg2c4,4,22,41,11,4,34
e8fj3,10,0,61,10,0,34
y0ty5,2,11,48,4,6,38
yzun6,11,0,44,4,0,79
fu34l,10,12,25,10,2,72
f0xiu,11,20,20,11,17,38
b8tyd,10,2,63,2,26,11
yoanm,2,11,47,10,21,95
sgrst,2,0,80,10,0,17
tosuf,11,4,86,10,9,27
hr3zz,11,20,86,2,27,80
qk5r5,11,27,61,11,22,93
bf3kx,2,0,16,11,0,6
rap2w,2,0,81,2,0,49
plii7,11,0,72,11,14,94
ikwav,11,22,46,2,17,76
sxu4y,11,20,82,10,9,6
qhyib,11,0,74,10,0,12
l7pp9,2,26,26,10,24,19
ev15g,10,22,58,10,30,85
afpcq,10,3,77,2,16,94
yt9g8,11,0,92,11,0,75
hic4j,11,21,58,2,12,16
hkctg,10,11,61,11,7,39
rvqjv,2,24,41,2,17,65
gf3yd,10,0,28,2,0,49
j9k8v,2,0,67,11,0,26
s7q1l,2,0,43,10,0,32
pzgfz,11,23,25,11,1,91
rbiry,11,3,5,2,4,97
au70h,11,7,56,4,6,75
lzz42,11,5,40,2,1,80
mwwql,2,19,80,11,4,28
q8i42,11,0,66,2,0,75
dwlz3,10,18,40,10,8,79
ev4s5,10,0,56,2,0,89
to3c6,2,4,74,10,30,91
ry77r,2,0,39,10,0,92
vxk9g,11,18,55,10,20,37
hgopj,10,10,90,11,27,67
z84h4,10,13,36,4,14,14
hlp93,4,17,88,10,23,0
qmx2u,2,28,92,10,30,21
ei3m2,2,28,70,2,21,94
xt23t,11,30,54,4,17,44
illbo,2,24,79,2,10,35
uhyx6,2,17,2,4,9,63
if0i2,4,29,63,10,0,24
u3k8p,4,0,43,4,0,2
lw0v5,10,24,97,2,13,5
bcs2a,2,24,57,2,3,51
er5ld,2,5,48,2,15,56
rntdr,11,9,74,2,30,81
fx8ye,2,19,39,11,13,96
h7x4l,4,1,12,11,12,36
obpmo,4,5,34,10,3,22
g7mj5,11,30,20,11,27,7
d6ze6,4,0,56,10,0,22
qb30p,2,30,96,11,6,83
rhcbk,2,18,90,11,27,7
trmvd,11,0,57,11,0,82
yzfpa,10,12,52,2,23,56
d7png,4,2,48,2,27,30
lijdr,11,9,96,11,14,52
gffdc,11,22,25,11,1,89
x31y5,2,15,85,11,20,21
oqmpq,10,27,82,11,16,67
cdkqq,4,10,30,11,1,41
rodkq,10,16,81,11,5,51
bhqll,11,0,4,10,0,93
h75zp,2,13,40,10,22,0
s2fg1,4,15,11,11,26,41
n6frd,4,17,42,2,1,69
t9n32,2,1,80,10,29,38
of88x,2,7,26,4,27,56
v86uu,10,19,36,2,3,48
o9gqu,10,0,61,11,0,68
bd0wc,10,6,64,10,1,49
b4pdd,2,5,45,2,16,80
ujoou,4,0,7,11,0,52
bxzpm,11,21,78,11,0,11
j0e6r,11,28,60,10,6,56
awedd,2,12,87,11,4,39
ho08v,4,25,7,10,20,39
pptgg,2,20,65,11,10,23
e4744,11,15,62,11,7,26
m04bc,11,0,47,11,0,48
z6cjq,4,0,19,2,0,9
bsk5m,11,18,53,11,16,98
b2zb7,2,0,44,4,0,29
hhvvb,11,19,88,10,3,8
v8bpi,11,30,84,11,7,97
khaee,11,18,48,11,5,19
qybtj,11,12,51,10,13,43
abb46,10,22,14,11,0,9
twsi5,11,19,60,10,0,69
bry2q,2,0,58,10,0,41
slq6z,4,0,69,2,0,4
dyllt,11,30,4,2,5,88
waeu2,10,0,83,10,0,47
hnlzg,10,11,2,10,7,67
ed0rd,10,10,83,10,30,55
iw8my,4,28,60,10,27,18
az0rc,11,11,25,4,30,87
eeusb,4,14,92,11,30,19
pil30,10,29,23,4,4,36
h4h5z,2,0,33,11,0,75
jbtj6,10,1,3,4,0,23
upr7k,11,3,65,2,9,54
dw5ur,4,25,3,2,12,81
kkk4o,4,0,14,2,0,26
